,entryID,travelerNames,gender,dates,events,origin,travels,birthDate,deathDate,occ_events,edu_events
11,23.0,Robert Adam,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
48,118.0,Whaley Armitage,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
156,509.0,James Boswell,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
168,543.0,"Gustavus Hamilton, 2nd Viscount Boyne",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
173,556.0,Rev. Thomas Brand,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,5,1
180,587.0,"Frederick Augustus Hervey, 4th Earl of Bristol",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,4,2
208,654.0,"Charles Brudenell-Bruce, Lord Bruce",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
301,960.0,Edward Daniel Clarke,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
310,982.0,Dr John Clephane,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
321,1032.0,Thomas Coke,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
462,1468.0,Francis Drake,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
526,1660.0,Sir William Farington,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
550,1750.0,John Flaxman,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
581,1891.0,Joseph Michael Gandy,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
654,2121.0,"Thomas Egerton, Baron Grey de Wilton",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
711,2379.0,Capt. Hon. Augustus John Hervey,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,1
743,2468.0,Edward Holdsworth,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,3
749,2488.0,Patrick Home,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
854,2967.0,Rev. Jonathan Lipyeatt,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,3,1
941,3305.0,"Charles Sackville, Earl of Middlesex",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,2
990,3481.0,Edward Murphy,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,2
1010,3552.0,"Sir Roger, 5th Bt. Newdigate",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,2,2
1038,3623.0,"George Simon Harcourt, Viscount Nuneham",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1065,3717.0,"Henry Temple, 2nd Viscount Palmerston",Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,1
1068,3730.0,Hon. George Parker,Male,birth & death dates,occupation & education data,from original Dictionary,26-74 visits,1,1,1,2
