place	complete current name	latitude	longitude	REGION	COUNTRY	COUNTRY CODE	Italy	18thcentury state	WIKIDATA ID	GEONAME ID	COORDINATE SOURCE	notes	COORDINATE NOTES
Abano	"Abano Terme, Padua, Italy"	45.360458	11.78979015	Padua	Italy	IT	Y	Republic of Venice	Q34603	3183587	BING		
Aberglasney	"Aberglasney, Llangathen, UK"	51.8806	-4.06223011	Llangathen	UK	GB			Q4667099		BING	used coordinates of village where this is: Llangathen	
Acquapendente	"Acquapendente, Viterbo, Italy"	42.743889	11.864444	Viterbo	Italy	IT	Y	Papal States	Q159474	3183516	ORIGINAL		all are within <1km
Acqui	"Acqui Terme, Alessandria, Italy"	44.675072	8.466609955	Alessandria	Italy	IT	Y	House of Savoy/Kingdom of Sardinia	Q17244	3183490	BING		all are within <1km
Aix	"Aix-les-Bains, Savoie, France"	45.68803	5.914619923	Savoie	France	FR			Q181955	6299398	BING		
Aix in Savoy	"Aix-les-Bains, Savoie, France"	45.68803	5.914619923	Savoie	France	FR			Q181955	3038350	BING		
Alban Hills	"Alban Hills, Italy"	41.73	12.69999981		Italy	IT	Y	Papal States	Q1129380	3183359	BING		
Albania	"Tirana, Albania"	41.33	19.82		Albania	AL			Q19689	3183875	WIKI		
Albano	"Albano Laziale, Italy"	41.728534	12.658854		Italy	IT	Y	Papal States	Q191115	3183356	BING		
Alessandria	"Alessandria, Italy"	44.907242	8.611559868		Italy	IT	Y	House of Savoy/Kingdom of Sardinia	Q6088	3183299	BING		
Algiers	"Algiers, Algeria"	36.771568	3.059259892		Algeria	DZ			Q3561	2507480	BING		
Amalfi	"Amalfi, Italy"	40.633888	14.60321999		Italy	IT	Y	Kingdom of Naples	Q80563	3183130	BING		all are within <1km
Amantea	"Amantea, Italy"	39.133121	16.07139969		Italy	IT	Y	Kingdom of Naples	Q53827	2525727	BING		
Amsterdam	"Amsterdam, Netherlands"	52.37403	4.88969		Netherlands	NL			Q727	2759794	GEONAMES		
Ancona	"Ancona, Italy"	43.61666667	13.51666667		Italy	IT	Y	Papal States	Q3415	3183089	WIKI		
Anspach	"Ansbach, Germany"	49.300678	10.57203007		Germany	DE			Q14859	2955936	BING		
Antibes	"Antibes, France"	43.580139	7.12130022		France	FR			Q126898	3037456	BING		
Antium	"Anzio, Italy"	41.45063	12.62467003		Italy	IT	Y	Papal States	Q241717	3183005	BING		
Anzio	"Anzio, Italy"	41.45063	12.62467003		Italy	IT	Y	Papal States	Q241717	3183005	BING		
Aosta	"Aosta, Italy"	45.737511	7.320720196		Italy	IT	Y	House of Savoy/Kingdom of Sardinia	Q3367	3182997	BING		
Aprica	"Aprica, Sondrio, Italy"	46.153912	10.15217972	Sondrio	Italy	IT	Y	Duchy of Milan and Mantua	Q41040	3182961	BING		
