Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"journal of Charles Abbot in Italy 1788; PRO, Colchester MSS 30/9/40",Abbot jnl.MSS,Abbot jnl.MSS,,5,
"Moray of Abercairny MSS; SRO, GD 24/1/",Abercairny MSS,Abercairny MSS,,14,
Archivio di Casa Savoia; BRT,ACS,ACS,,1,
"The Letters of Joseph Addison, ed. W. Graham [1941]",Addison Letters,Addison Letters,,5,
"SRO, GD 25/9",Ailsa MSS,Ailsa MSS,,4,
"P.J. Anderson, Records of the Scots Colleges at Douai, Rome, Madrid, Ratisbon, New Spalding Club, Aberdeen, 19th Rpt. [1906]",Anderson 1906,Anderson 1906,,8,
"I.A. Andrich, De Natione Anglica et Scota, iustarum universitatis Patavinae [Padua 1892]",Andrich,Andrich,,20,
"E. Angelicoussis, The Woburn Abbey Collection of Classical Antiquities, Monumenta Artis Romanae XX [1992]",Angelicoussis,Angelicoussis,,2,
"Notes of several passages ... 1699-1702, and List of Foreign Acquaintance', Cambs.RO, Huntingdon, Manchester dep. of Deeds, box 3 (see J. Black, Studi Piemontesi, 17.1 [1988]:183-6)",Anon.MSS 1699-1702,Anon.MSS 1699-1702,,3,
"advice to a traveller in Italy; Staffs RO, Stafford, Dartmouth MSS, D.1778.v, 1, 112",Anon.MSS c.1752,Anon.MSS c.1752,,2,
"Arundel MSS, Brynmor Jones 
Lib., U. of Hull, DD/EV/6/6",Anon.jnl.MSS 1784,Anon.jnl.MSS 1784,,1,
"Extract of a Tour in Italy in 1792 and 1793 by 4 Ladies', The Antiquary, 33 [1897]: 273-8, 296-9",Anon.Tour 1792-3,Anon.Tour 1792-3,,0,
"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1755-60",ANSL 51,ANSL 51,,4,
"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1761-65",ANSL 52,ANSL 52,,8,
"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1773-79",ANSL 53,ANSL 53,,3,
"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1795-1802",ANSL 55,ANSL 55,,2,
"Staffs RO, Stafford, D615/P(S) 1/6/",Anson papers,Anson papers,,N.A.,
"journal of Whaley Armitage in Italy 1790-1; Camb.Trin.Lib., Add.a226, 37(1)-(3)",Armitage jnl.MSS,Armitage jnl.MSS,,11,
"papers of William Artaud; John Rylands Lib., Manchester: journal from Gibraltar toItaly Nov.-Dec.1795 (589550) ",Artaud jnl. MSS,Artaud jnl. MSS,,N.A.,
"papers of William Artaud; John Rylands Lib., Manchester: letters to his father, 26 Jul.1795-29 May 1799 (589551)",Artaud letters MSS,Artaud letters MSS,,24,
"papers of William Artaud; John Rylands Lib., Manchester: draft letters, 17 Mar.1797-24 Feb.1798, to other correspondents (589552)",Artaud letter bk.MSS,Artaud letter bk.MSS,,N.A.,
"Archivio di Stato di Bologna; Assunteria di Magistrati, Principi di passaggio e trattamenti I",ASB AM 118,ASB AM 118,,1,
"Archivio di Stato di Firenze; Accademia del Disegno; Ruolo de ... Accademici ... 1762 ['riddled with innaccuracies, especially with regard to the dates of elections of members'; Wynne 1990, 536]",ASF AD 153,ASF AD 153,,N.A.,
Archivio di Stato di Firenze; Stati delle Anime,ASF SA,ASF SA,,0,
"Archivio di Stato di Firenze; Segreteria degli Esteri; Carteggio con Mann, Ministro d'Inghilterra 1737-70",ASF SE 2300,ASF SE 2300,,22,
Archivio di Stato di Firenze; Segreteria degli Esteri; Carteggio con Ministri esteri residenti in Toscana 1766-97,ASF SE 2340,ASF SE 2340,,14,
Archivio di Stato di Firenze; Segreteria degli Esteri; Registro dei passaporti e visti 1758-89,ASF SE 2741,ASF SE 2741,,2,
Archivio di Stato di Genova; Archivio segreto; libro VI dei Cerimoniali 1705-26,ASG AS 479,ASG AS 479,,2,
Archivio di Stato di Genova; Finanza pubblica; Forestieri 1708,ASG FP 2648,ASG FP 2648,,1,
Archivio di Stato di Genova; Finanza pubblica; Forestieri 1744,ASG FP 2670,ASG FP 2670,,,
Archivio di Stato di Genova; Giunta di Marina; Consoli nazionali ed esteri 1707-80,ASG/GM 6-10,ASG/GM 6,,2,
Archivio di Stato di Genova; Giunta di Marina; Consoli nazionali ed esteri 1707-80,ASG/GM 6-10,ASG/GM 7,,2,
Archivio di Stato di Genova; Giunta di Marina; Consoli nazionali ed esteri 1707-80,ASG/GM 6-10,ASG/GM 8,,0,
Archivio di Stato di Genova; Giunta di Marina; Consoli nazionali ed esteri 1707-80,ASG/GM 6-10,ASG/GM 9,,,
Archivio di Stato di Genova; Giunta di Marina; Consoli nazionali ed esteri 1707-80,ASG/GM 6-10,ASG/GM 10,,,
Archivio di Stato di Genova; Giunta di Marina; Consoli nazionali ed esteri 1783-97,ASG/GM 12,ASG/GM 12,,1,
Archivio di Stato di Genova; Ufficio di sanita; Registrazioni di spedizioni dei capitani e patenti 1739,ASG US 1819,ASG US 1819,,,
Archivio di Stato di Livorno; Comunita 1764-5,ASL C 165,ASL C 165,,1,
"Archivio di Stato di Livorno; Governo (protocolli, repertori, indici 1765-1808): A-K",ASL G 1214-1217,ASL G 1214,,3,
"Archivio di Stato di Livorno; Governo (protocolli, repertori, indici 1765-1808): A-K",ASL G 1214-1217,ASL G 1215,,6,
"Archivio di Stato di Livorno; Governo (protocolli, repertori, indici 1765-1808): A-K",ASL G 1214-1217,ASL G 1216,,2,
"Archivio di Stato di Livorno; Governo (protocolli, repertori, indici 1765-1808): A-K",ASL G 1214-1217,ASL G 1217,,2,
Archivio di Stato di Lucca; Magistrato de' Segretari,ASLU MS,ASLU MS,,1,
"Archivio di Stato di Lucca; Offizi sui Ricevimenti di Principi, ... 1606-1796",ASLU OR 13,ASLU OR 13,,1,
"Archivio di Stato di Lucca; Offizi sui Ricevimenti di Principi, ... repertorio",ASLU OR 14,ASLU OR 14,,3,
Archivio di Stato di Milano; Potenze estere: Inghilterra 1768-1846,ASM PE 53,ASM PE 53,,4,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese
a Napoli 1789-90",ASN E 673,ASN E 673,,13,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1795-7",ASN E 674,ASN E 674,,29,
"Archivio di Stato di Napoli, Ministro Affari Esteri, Ministri esteri-Inghilterra
1764-6",ASN E 679,ASN E 679,,7,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 681,,1,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 682,,16,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 683,,15,
"Archivio di Stato di Napoli; Ministro Affari Esteri, Legazione del Governo Inglese a Napoli 1771-87",ASN E 681-4,ASN E 684,,13,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1752-4,ASN CRA 1257,ASN CRA 1257,,74,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1762-6,ASN CRA 1258        ,ASN CRA 1258        ,,5,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1771-4,ASN CRA 1259        ,ASN CRA 1259        ,,63,
Archivio di Stato di Napoli; Casa Reale Antica; Passaporti 1761-6,ASN CRA 1277       ,ASN CRA 1277       ,,44,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Scavi Roma 1756-68",ASR ABA 4,ASR ABA 4,,N.A.,
"Archivio di Stato di Roma; camerale II; Antichità e Belle Arti, 113/6; Permessi di esportazione",ASR ABA 11-16,ASR ABA 11,,18,
