abbrev,full,bio,narrative,tours,,,,,,,,,
Abbot jnl.MSS,"journal of Charles Abbot in Italy 1788; PRO, Colchester MSS 30/9/40",,0,,,,,,,,,,
Abercairny MSS,"Moray of Abercairny MSS; SRO, GD 24/1/",,,2916,,,,,,,,,
ACS,Archivio di Casa Savoia; BRT,,,,,,,,,,,,
Addison Letters,"The Letters of Joseph Addison, ed. W Graham [1941]",,,,,,,,,,,,
Ailsa MSS,"SRO, GD 25/9",,,,,,,,,,,,
Anderson 1906,"P.J. Anderson, Records of the Scots Colleges at Douai, Rome, Madrid, Ratisbon, New Spalding Club, Aberdeen, 19th Rpt. [1906]",,,,,,,,,,,,
Andrich,"I.A. Andrich, De Natione Anglica et Scota, iustarum universitatis Patavinae [Padua 1892]",,1082,"169, 594, 861, 1201, 1268, 1895, 4500, 4601, 4602, 4685",,,,,,,,,
Angelicoussis,"E. Angelicoussis, The Woburn Abbey Collection of Classical Antiquities, Monumenta Artis Romanae xx [1992]",,,,,,,,,,,,
Anon.MSS 1699-1702,"Notes of several passages ... 1699-1702, and List of Foreign Acquaintance', Cambs.RO, Huntingdon, Manchester dep. of Deeds, box 3 (see J. Black, Studi Piemontesi, 17.1 [1988]:183-6)",,4210,,,,,,,,,,
Anon.MSS c.1752,"advice to a traveller in Italy; Staffs RO, Stafford, Dartmouth MSS, D.1778.V, 1, 112",,,,,,,,,,,,
Anon.jnl.MSS 1784,"Arundel MSS, Brynmor Jones 
Lib., U. of Hull, DD/EV/6/6",,,3678,,,,,,,,,
Anon.Tour 1792-3,"Extract of a Tour in Italy in 1792 and 1793 by 4 Ladies', The Antiquary, 33 [1897]: 273-8, 296-9",,,,,,,,,,,,
ANSL 51,"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1755-60",,,,,,,,,,,,
ANSL 52,"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1761-65",,,,,,,,,,,,
ANSL 53,"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1773-79",,,,,,,,,,,ANSL 51,"Accademia Nazionale di San
Luca, Rome, archivio sforico
Decreti, Congregazioni 1755-60"
ANSL 55,"Accademia Nazionale di San Luca, Rome, archivio storico Decreti, Congregazioni 1795-1802",,,,,,,,,,,ANSL 51,"Accademia Nazionale di San
Luca, Rome, archivio sforico
Decreti, Congregazioni 1755-60"
Anson MSS,"Staffs RO, Stafford, D615/P(S) 1/6/",,,,,,,,,,,,
