index	tourEndTo	tourIndex	tourStartTo	tourEndFrom	tourEndRange	tourStartFrom	tourStartRange	text	place	travelIndex	travelEndDay	travelEndYear	travelStartDay	travelEndMonth	travelStartYear	travelStartMonth	lng	lat	forced	lte	gte	parent
0	1788	1	1788	1788	FALSE	1788	FALSE	Turin (10 Sep.)	Turin	1	10	1788	10	9	1788	9	7.6868565	45.070312	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Genoa (13 Sep.)	Genoa	2	13	1788	13	9	1788	9	8.946256	44.4056499	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Leghorn	Leghorn	3	0	0	0	0	0	0	10.416111	43.520833	FALSE	1788-9-15	1788-9-13	
0	1788	1	1788	1788	FALSE	1788	FALSE	Pisa	Pisa	4	0	0	0	0	0	0	10.4016888	43.7228386	FALSE	1788-9-15	1788-9-13	
0	1788	1	1788	1788	FALSE	1788	FALSE	Florence (15-18 Sep.)	Florence	5	18	1788	15	9	1788	9	11.2480006	43.7710332	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Perugia (20 Sep.)	Perugia	6	20	1788	20	9	1788	9	12.3908279	43.1107168	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Narni	Narni	7	0	0	0	0	0	0	12.5156299	42.5176022	FALSE	1788-9-21	1788-9-20	
0	1788	1	1788	1788	FALSE	1788	FALSE	Rome (21-28 Sep.)	Rome	8	28	1788	21	9	1788	9	12.4801802	41.8723889	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Naples (30 Sep.-6 Oct.)	Naples	9	6	1788	30	10	1788	9	14.2681244	40.8517746	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Rome (7-10 Oct.)	Rome	10	10	1788	7	10	1788	10	12.4801802	41.8723889	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Siena (11 Oct.)	Siena	11	11	1788	11	10	1788	10	11.3307574	43.318809	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Florence (12 Oct.)	Florence	12	12	1788	12	10	1788	10	11.2480006	43.7710332	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Bologna (15 Oct.)	Bologna	13	15	1788	15	10	1788	10	11.3426163	44.494887	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Venice (16-20 Oct.)	Venice	14	20	1788	16	10	1788	10	12.3155151	45.4408474	FALSE			
0	1788	1	1788	1788	FALSE	1788	FALSE	Vicenza	Vicenza	15	0	0	0	0	0	0	11.5354214	45.5454787	FALSE	1788-10-22	1788-10-20	
0	1788	1	1788	1788	FALSE	1788	FALSE	Verona (22 Oct.)	Verona	16	22	1788	22	10	1788	10	10.9916215	45.4383842	FALSE			
4	1763	1	1763	1763	FALSE	1763	FALSE	Naples (31 Dec.; Martin jnl.MSS)	Naples	1	31	1763	31	12	1763	12	14.2681244	40.8517746	FALSE			
6	1764	1	1764	1764	FALSE	1764	FALSE	Rome (Oct.)	Rome	1	0	1764	0	10	1764	10	12.4801802	41.8723889	FALSE			
9	1770	1	1769	1770	FALSE	1769	FALSE	Florence (by 18-25 Nov. 1769)	Florence	1	25	1769	18	11	1769	11	11.2480006	43.7710332	FALSE			
9	1770	1	1769	1770	FALSE	1769	FALSE	Rome (by 25 Dec. 1769)	Rome	2	25	1769	25	12	1769	12	12.4801802	41.8723889	FALSE			
9	1770	1	1769	1770	FALSE	1769	FALSE	Venice (May 1770)	Venice	3	0	1770	0	5	1770	5	12.3155151	45.4408474	FALSE			
10	1733	1	1733	1733	FALSE	1733	FALSE	"Pisa (Jan.: a 'pensioner of the Pretender', he had gone to Pisa on his way to Avignon; SP 98/32, f.480)"	Pisa	1	0	1733	0	1	1733	1	10.4016888	43.7228386	FALSE			
12	1765	1	1763	1765	FALSE	1763	FALSE	Rome (Feb. 1763)	Rome	1	0	1763	0	2	1763	2	12.4801802	41.8723889	FALSE			
12	1765	1	1763	1765	FALSE	1763	FALSE	Naples (Mar.)	Naples	2	0	1763	0	3	1763	3	14.2681244	40.8517746	FALSE			
12	1765	1	1763	1765	FALSE	1763	FALSE	Turin (Sep. 1764)	Turin	3	0	1764	0	9	1764	9	7.6868565	45.070312	FALSE			
12	1765	1	1763	1765	FALSE	1763	FALSE	Rome (by 7 Feb. 1765-Apr.)	Rome	1	0	1765	7	4	1765	2	12.4801802	41.8723889	FALSE			
12	1765	1	1763	1765	FALSE	1763	FALSE	Florence (by 26 May)	Florence	2	26	1765	26	5	1765	5	11.2480006	43.7710332	FALSE			
12	1770	2	1770	1770	FALSE	1770	FALSE	Florence	Florence	1	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1770-0-0	1765-5-26	
15	1711	1	1711	1711	FALSE	1711	FALSE	"Rome (29 Mar., 2 Aug.; Waters jnl.MSS)"	Rome	1	0	0	0	0	0	0	12.4801802	41.8723889	FALSE	1711-0-0	1711-0-0	
16	1767	1	1767	1767	FALSE	1767	FALSE	Florence (by 5 Feb. 1767)	Florence	1	5	1767	5	2	1767	2	11.2480006	43.7710332	FALSE			
16	1767	1	1767	1767	FALSE	1767	FALSE	Venice (20 Feb.)	Venice	2	20	1767	20	2	1767	2	12.3155151	45.4408474	FALSE			
17	1766	1	1747	1766	FALSE	1747	FALSE	Florence	Florence	1	0	0	0	0	0	0	11.2480006	43.7710332	FALSE	1766-0-0	1747-0-0	
