index	text	travelIndex	place	tourIndex	forced	parent	travelEndDay	travelEndYear	travelEndMonth	travelStartDay	travelStartYear	travelStartMonth	lng	lat	tourEndTo	tourEndFrom	tourEndRange	tourStartTo	tourStartFrom	tourStartRange
0	Turin (10 Sep.)	1	Turin	1	FALSE		10	1788	9	10	1788	9	7.6868565	45.070312	1788	1788	FALSE	1788	1788	FALSE
0	Genoa (13 Sep.)	2	Genoa	1	FALSE		13	1788	9	13	1788	9	8.946256	44.4056499						
0	Leghorn	3	Leghorn	1	FALSE		0	0	0	0	0	0	10.416111	43.520833						
0	Pisa	4	Pisa	1	FALSE		0	0	0	0	0	0	10.4016888	43.7228386						
0	Florence (15-18 Sep.)	5	Florence	1	FALSE		18	1788	9	15	1788	9	11.2480006	43.7710332						
0	Perugia (20 Sep.)	6	Perugia	1	FALSE		20	1788	9	20	1788	9	12.3908279	43.1107168						
0	Narni	7	Narni	1	FALSE		0	0	0	0	0	0	12.5156299	42.5176022						
0	Rome (21-28 Sep.)	8	Rome	1	FALSE		28	1788	9	21	1788	9	12.4801802	41.8723889						
0	Naples (30 Sep.-6 Oct.)	9	Naples	1	FALSE		6	1788	10	30	1788	9	14.2681244	40.8517746						
0	Rome (7-10 Oct.)	10	Rome	1	FALSE		10	1788	10	7	1788	10	12.4801802	41.8723889						
0	Siena (11 Oct.)	11	Siena	1	FALSE		11	1788	10	11	1788	10	11.3307574	43.318809						
0	Florence (12 Oct.)	12	Florence	1	FALSE		12	1788	10	12	1788	10	11.2480006	43.7710332						
0	Bologna (15 Oct.)	13	Bologna	1	FALSE		15	1788	10	15	1788	10	11.3426163	44.494887						
0	Venice (16-20 Oct.)	14	Venice	1	FALSE		20	1788	10	16	1788	10	12.3155151	45.4408474						
0	Vicenza	15	Vicenza	1	FALSE		0	0	0	0	0	0	11.5354214	45.5454787						
0	Verona (22 Oct.)	16	Verona	1	FALSE		22	1788	10	22	1788	10	10.9916215	45.4383842						
4	Naples (31 Dec.; Martin jnl.MSS)	1	Naples	1	FALSE		31	1763	12	31	1763	12	14.2681244	40.8517746	1763	1763	FALSE	1763	1763	FALSE
6	Rome (Oct.)	1	Rome	1	FALSE		0	1764	10	0	1764	10	12.4801802	41.8723889	1764	1764	FALSE	1764	1764	FALSE
9	Florence (by 18-25 Nov. 1769)	1	Florence	1	FALSE		25	1769	11	18	1769	11	11.2480006	43.7710332	1770	1770	FALSE	1769	1769	FALSE
9	Rome (by 25 Dec. 1769)	2	Rome	1	FALSE		25	1769	12	25	1769	12	12.4801802	41.8723889						
9	Venice (May 1770)	3	Venice	1	FALSE		0	1770	5	0	1770	5	12.3155151	45.4408474						
10	"Pisa (Jan.: a 'pensioner of the Pretender', he had gone to Pisa on his way to Avignon; SP 98/32, f.480)"	1	Pisa	1	FALSE		0	1733	1	0	1733	1	10.4016888	43.7228386	1733	1733	FALSE	1733	1733	FALSE
12	Rome (Feb. 1763)	1	Rome	1	FALSE		0	1763	2	0	1763	2	12.4801802	41.8723889	1765	1765	FALSE	1763	1763	FALSE
12	Naples (Mar.)	2	Naples	1	FALSE		0	1763	3	0	1763	3	14.2681244	40.8517746						
12	Turin (Sep. 1764)	3	Turin	1	FALSE		0	1764	9	0	1764	9	7.6868565	45.070312						
12	Rome (by 7 Feb. 1765-Apr.)	1	Rome	1	FALSE		0	1765	4	7	1765	2	12.4801802	41.8723889						
12	Florence (by 26 May)	2	Florence	1	FALSE		26	1765	5	26	1765	5	11.2480006	43.7710332						
