index	birthPlace	deathPlace	deathDateEnd	deathDateStart	birthDateEnd	birthDateStart	flourishedEndDateEnd	flourishedEndDateStart	flourishedStartDateEnd	flourishedStartDateStart
0			1829	1829	1757	1757				
1			1794	1794	1756	1756				
2			1791	1791	1737	1737				
3										
4										
5										
6										
7										
8			1801	1801	1734	1734				
9										
10										
11										
12			1799	1799	1740	1740				
13										
14										
15	Scotland									
16			1778	1778	1746	1746				
17		Pisa	1766	1766	1703	1703				
18		Palermo	1811	1811	1736	1736				
19	Ireland		1790	1790	1716	1716				
20										
21			1794	1794	1732	1732				
22										
23			1792	1792	1728	1728				
24										
25										
26										
27										
28										
29			1719	1719	1672	1672				
30										
31										
32			1836	1836	1761	1761				
33										
34			1770	1770	1691	1691				
35			1752	1752	1679	1679				
36			1731	1731	1682	1682				
37			1784	1784	1695	1695				
38										
39										
40			1824	1824	1752	1752				
41										
42										
43			1793	1793	1717	1717				
44			1736	1736	1694	1694				
45			1772	1772	1724	1724				
46										
47			1802	1802	1730	1730				
48			1766	1766	1686	1686				
49					1748	1748				
50										
51										
52			1796	1796	1744	1744				
53										
54										
55										
56										
57										
58			1778	1778	1739	1739				
59										
60							1764	1764	1748	1748
61										
62										
63			1782	1782	1711	1711				
64			1773	1773	1695	1695				
65										
66			1733	1733	1706	1706				
67			1719	1719						
68			1714	1714	1676	1676				
69										
70			1808	1808	1738	1738				
71										
72			1857	1857	1773	1773				
73		Naples	1793	1793						
74										
75							1761	1761	1730	1730
76										
77										
78										
79			1756	1756	1714	1714				
80										
81			1774	1774	1718	1718				
82										
83										
84			1792	1792	1720	1720				
85										
86			1721	1721	1663	1663				
87			1824	1824	1745	1745				
88										
89										
90										
91			1773	1773	1695	1695				
92			1818	1818	1767	1767				
93										
94			1753	1753	1678	1678				
95										
96										
97					1734	1734				
98			1834	1834	1762	1762				
99										
100			1772	1772	1730	1730				
101										
102			1733	1733	1669	1669				
103			1794	1794	1711	1711				
104										
105			1809	1809	1743	1743				
106										
107			1741	1741	1659	1659				
108			1778	1778	1736	1736				
109										
110			1768	1768	1695	1695				
111										
112			1768	1768	1731	1731				
113										
114					1749	1749				
115			1743	1743	1680	1680				
116			1806	1806	1723	1723				
117										
118			1855	1855	1767	1767				
119			1842	1842	1750	1750				
120	Castleton, Rox		1779	1779	1709	1709				
121										
122			1758	1758	1732	1732				
123			1820	1820	1761	1761				
124										
125										
126			1823	1823	1763	1763				
127										
128										
129			1712	1712						
130			1746	1746	1694	1694				
131			1756	1756	1717	1717				
132										
133			1758	1758	1696	1696				
134			1829	1829	1765	1765				
135										
136										
137			1812	1812	1724	1724				
138			1721	1721	1698	1698				
139			1774	1774	1722	1722				
140										
141			1833	1833	1758	1758				
142										
143			1792	1792						
144			1854	1854	1767	1767				
145			1771	1771	1687	1687				
146			1787	1787	1724	1724				
147			1718	1718						
148			1785	1785	1740	1740				
149										
150										
151										
152										
153										
154			1768	1768	1696	1696				
155										
156			1826	1826	1739	1739				
157										
158		Pisa	1833	1833	1757	1757				
159			1801	1801	1715	1715				
160			1843	1843	1773	1773				
161			1852	1852	1767	1767				
162										
163	Newcastle-upon-Tyne		1770	1770	1710	1710				
164										
165			1737	1737	1703	1703				
166										
167			1779	1779						
168										
169										
170										
