index	education	from	to	degree	degreeDate	teacher	institution	place
0	Westminster						Westminster School	Westminster, London
0	Ch.Ch. Oxf.	1775					Church Christ College, Oxford	Oxford
0	M.Temple						Middle Temple	London
0	L.Inn	1785					Lincoln's Inn	London
8	Rugby							Rugby
8	Edinburgh U.						Edinburgh University	Edinburgh
12	Westminster						Westminster School	Westminster, London
12	Magd. Oxf.	1759					Magdalene College, Oxford	Oxford
15	M.Temple	1705					Middle Temple	London
16	Univ. Coll. Oxf.	1765					University College, Oxford	Oxford
19	Leiden U.						Leiden University	Leiden
23	Edinburgh U.	1743					Edinburgh University	Edinburgh
29	Charterhouse						Charterhouse School	Godalming
29	Queen's Oxf.						Queen's College, Oxford	Oxford
29	Magd. Oxf.	1689					Magdalene College, Oxford	Oxford
32	Westminster						Westminster School	Westminster, London
32	Ch.Ch. Oxf.	1778					Church Christ College, Oxford	Oxford
43	Eton						Eton College School	Eton
43	Merton Oxf.	1736					Merton College, Oxford	Oxford
45						John Alexander		
52	Foulis Academy	1755	1764				Foulis Academy of Fine Arts	Glasgow
63	BNC Oxf.	1730					Brasenose College, Oxford	Oxford
63	G.Inn	1731					Gray's Inn	London
64	Univ. Coll. Oxf.	1712					University College, Oxford	Oxford
72	Ch.Ch. Oxf.	1789					Church Christ College, Oxford	Oxford
79	Eton						Eton College School	Eton
86	Glasgow U.						Glasgow University	Glasgow
91	St John's Oxf.	1711					St John's College, Oxford	Oxford
91	I.Temple						Inner Temple	London
92	Eton						Eton College School	Eton
92	Oriel Oxf.	1784	1788				Oriel College, Oxford	Oxford
95	Glasgow U.	1733					Glasgow University	Glasgow
97	Oriel Oxf.	1766					Oriel College, Oxford	Oxford
98	Eton						Eton College School	Eton
98	Ch.Ch. Oxf.	1779					Church Christ College, Oxford	Oxford
105	Eton						Eton College School	Eton
105	Ch.Ch. Oxf.	1760					Church Christ College, Oxford	Oxford
107	Trin. Oxf.	1678					Trinity College, Oxford	Oxford
107	I.Temple	1680					Inner Temple	London
108	Eton						Eton College School	Eton
108	Trin. Oxf.	1754					Trinity College, Oxford	Oxford
110	Trin. Oxf.	1712					Trinity College, Oxford	Oxford
112	Eton						Eton College School	Eton
112	King's Camb.	1750					King's College, Cambridge	Cambridge
118	Trin. Camb.	1786					Trinity College, Cambridge	Cambridge
118	L.Inn	1785					Lincoln's Inn	London
120	Edinburgh			MD	1732			Edinburgh
122	Eton						Eton College School	Eton
122	Trin. Camb.	1751					Trinity College, Cambridge	Cambridge
126	RA Schools	1778					Royal Academy Schools	London
132	St Omer College	1753	1758				St Omer College School	St Omer
134	Ch.Ch. Oxf.	1782					Church Christ College, Oxford	Oxford
134				MD	1796			
137	Clare Camb.	1741					Clare College, Cambridge	Cambridge
139	Emmanuel Camb.	1739					Emmanuel College, Cambridge	Cambridge
139	Leiden U.	1745					Leiden University	Leiden
139				MD	1750			
141	BNC Oxf.						Brasenose College, Oxford	Oxford
141	Balliol Oxf.						Balliol College, Oxford	Oxford
141	M.Temple	1779					Middle Temple	London
144	Christ's Camb.	1785					Christ's College, Cambridge	Cambridge
144	L.Inn	1785					Lincoln's Inn	London
148	Ch.Ch. Oxf.	1758					Church Christ College, Oxford	Oxford
154	Exeter Oxf.	1712					Exeter College, Oxford	Oxford
154				DD	1738			
156	Westminster						Westminster School	Westminster, London
156	Ch.Ch. Oxf.	1758					Church Christ College, Oxford	Oxford
178	Westminster						Westminster School	Westminster, London
178	BNC Oxf.	1750					Brasenose College, Oxford	Oxford
178	L.Inn	1751					Lincoln's Inn	London
178				DCL	1764			
179	L.Inn	1766					Lincoln's Inn	London
180	Westminster						Westminster School	Westminster, London
180	Magd. Oxf.	1747					Magdalene College, Oxford	Oxford
185	St Mary Hall Oxf.	1737					St Mary's Hall College, Oxford	Oxford
186	Trin. Camb.	1784					Trinity College, Cambridge	Cambridge
200	Balliol Oxf.	1704					Balliol College, Oxford	Oxford
200	L.Inn	1707					Lincoln's Inn	London
201	Trin. Oxf.	1786					Trinity College, Oxford	Oxford
214	Eton						Eton College School	Eton
218	New Coll. Oxf.	1770					New College, Oxford	Oxford
219	St John's Camb.	1738					St John's College, Cambridge	Cambridge
220	Westminster						Westminster School	Westminster, London
220	Trin. Camb.	1773					Trinity College, Cambridge	Cambridge
221	BNC Oxf.	1768					Brasenose College, Oxford	Oxford
222						Barlow		
222	St Martin's Lane Academy						St Martin's Lane Academy	London
230	Leiden							Leiden
230	Rotterdam							Rotterdam
237	RA schools						Royal Academy Schools	London
250	Ch.Ch. Oxf.	1783					Church Christ College, Oxford	Oxford
253	Peterhouse Camb.	1763					Peterhouse College, Cambridge	Cambridge
259	Harrow						Harrow School	London
259	L.Inn	1734					Lincoln's Inn	London
261	Geneva	1735	1738					Geneva
262	Fournier's Academy	1764					Fournier's Academy	London
262		1764	1766			Reynolds		
265						Jacob Ennis		
266	BNC Oxf.	1767					Brasenose College, Oxford	Oxford
271	Westminster						Westminster School	Westminster, London
271	Eton						Eton College School	Eton
275	Queen's Oxf.	1713					Queen's College, Oxford	Oxford
277	Harrow						Harrow School	London
277	Eton						Eton College School	Eton
277	King's Camb.	1775					King's College, Cambridge	Cambridge
280	Peterhouse Camb.	1712					Peterhouse College, Cambridge	Cambridge
280	I.Temple	1712					Inner Temple	London
291	Eton						Eton College School	Eton
291	Trin. Oxf.	1708					Trinity College, Oxford	Oxford
292	Balliol Oxf.	1725					Balliol College, Oxford	Oxford
293	Eton						Eton College School	Eton
293	Trin. Oxf.	1703					Trinity College, Oxford	Oxford
297	St John's Camb.	1761					St John's College, Cambridge	Cambridge
297	Leiden U.	1771					Leiden University	Leiden
297	Montpellier			MD	1770			Montpellier
307	Caius Camb.	1722					Gonville and Caius College, Cambridge	Cambridge
311	Pembroke Oxf.	1721					Pembroke College, Oxford	Oxford
311	M.Temple	1721					Middle Temple	London
312	Queen's Oxf.	1709					Queen's College, Oxford	Oxford
312	Merton Oxf.			MA	1715		Merton College, Oxford	Oxford
313	Eton						Eton College School	Eton
313	Ch.Ch. Oxf.	1760					Church Christ College, Oxford	Oxford
316	Christ's Camb.	1773					Christ's College, Cambridge	Cambridge
318	Queen's Oxf.	1758					Queen's College, Oxford	Oxford
320	Eton						Eton College School	Eton
320	Ch.Ch. Oxf.	1790					Church Christ College, Oxford	Oxford
322	Trin. Oxf.	1757					Trinity College, Oxford	Oxford
325	Westminster						Westminster School	Westminster, London
325	Univ. Coll. Oxf.	1720					University College, Oxford	Oxford
326	Edinburgh U.	1770					Edinburgh University	Edinburgh
327	Edinburgh U.						Edinburgh University	Edinburgh
329	Eton						Eton College School	Eton
329	New Coll. Oxf.						New College, Oxford	Oxford
330	Univ. Coll. Oxf.	1777					University College, Oxford	Oxford
332	Westminster						Westminster School	Westminster, London
332	New Coll. Oxf.	1757					New College, Oxford	Oxford
