index	biography	name	fullName
0	ABBOT, CHARLES (1757-1829), 2nd s. of John Abbot of Colchester, Essex, and Sarah, later Mrs Bentham; educ. Westminster and Ch.Ch. Oxf. 1775; M.Temple, called 1783; L.Inn 1785; MP 1795-1817; m. 1796 Elizabeth Gibbes; cr. B. Colchester 1817.	ABBOT, CHARLES	Charles Abbot
1	ABBOT, JOHN FARR (c.1756-94), e. s. of John Abbot of Colchester, Essex; m. 1786 Mary Pearce (c.1762-93); clerk of the rules King's Bench 1790-4; see Sarah Bentham.	ABBOT, JOHN FARR	John Farr Abbot
2	ABBOTT, EDWARD (c.1737-91), painter, of Long Acre, London; according to Redgrave, he travelled in France and Italy with the engraver William Wynne Ryland, i.e. c.1760; see Ryland.	ABBOTT, EDWARD	Edward Abbott
3	ABBOTT, JOHN, merchant; see Francis Harriman	ABBOTT, JOHN, merchant	John Abbott
4	ABBOTT	ABBOTT	Abbott
5	ABERCORN, 8TH EARL OF, see James, Lord Paisley	ABERCORN, 8TH EARL OF	8th Earl Of Abercorn
6	ABERCROMBIE, MAJ., probably James Abercrombie, 1706-81, of Banff; army officer, maj. 1760, lt.-col. 22 Ft. 1770.	ABERCROMBIE, MAJ., probably James Abercrombie, 1706-81, of Banff	Maj. Abercrombie
7	ABERCROMBY, see John, Lord Carmichael	ABERCROMBY	Abercromby
8	ABERCROMBY, SIR RALPH (1734-1801) of Tullibody, Clackmannan; e. s. of George Abercromby; educ. Rugby, Edinburgh U.; army officer, cornet 1756, capt. 1762, lt.-col. 1773, lt.-gen. 1797; m. 1767 Mary Anne Menzies; KB 1795; see George, Baron Keith.	ABERCROMBY, SIR RALPH	Sir Ralph Abercromby
9	ABERDEEN	ABERDEEN	Aberdeen
10	ABERNETHY, GEORGE	ABERNETHY, GEORGE	George Abernethy
11	ABINGDON, 3RD EARL OF, see Willoughby Bertie	ABINGDON, 3RD EARL OF	3rd Earl Of Abingdon
12	ABINGDON, WILLOUGHBY BERTIE, 4TH EARL OF (1740-99), 1st surv. s. of 3rd E. of Abingdon; educ. Westminster and Magd. Oxf. 1759; suc. fa. 1760 as 4th E; m. 1768 Charlotte Warren.	ABINGDON, WILLOUGHBY BERTIE, 4TH EARL OF	Willoughby Bertie, 4th Earl Of Abingdon
13	ABRAM, COL., see Sir Sampson Gideon	ABRAM, COL.	Col. Abram
14	ACCAROMBONI, see Margaret Murray	ACCAROMBONI	Accaromboni
15	ACKMOOTY, possibly Robert Auchmuty, 1687-1750, American colonial jurist, b. Scotland; M.Temple 1705, called 1711.	ACKMOOTY, possibly Robert Auchmuty, 1687-1750, American colonial jurist, b. Scotland	Ackmooty
16	ACLAND, JOHN DYKE (1746-78), e. s. of Sir Thomas Dyke Acland, 7th Bt.; Univ.Coll. Oxf. 1765; m. 1770 Ldy. Christiana Harriet Caroline Fox Strangways, dau. of 1st E. of Ilchester; army officer, ensign 33 Ft. 1774, maj. 20 Ft. 1775; MP 1774-8.	ACLAND, JOHN DYKE	John Dyke Acland
17	ACTON, JOHN (c.1703-66), yr. s. of Edward Acton, London; capt. EICo. until 1747; c.-in-c. (with title of adml.) Tuscan navy 1749-66; d. Pisa.	ACTON, JOHN	John Acton
18	ACTON, JOHN FRANCIS EDWARD (1736- 1811), e. s. of Edward Acton, phys. of Besançon; served in French navy and in Tuscan service 1755-78; c.-in-c. land and sea forces of Naples 1778; suc. cos. 1791 as 6th Bt.; m. 1800 Mary Anne Acton (c.1782-1873); d. Palermo.	ACTON, JOHN FRANCIS EDWARD	John Francis Edward Acton
19	ADAIR, DR ROBERT (c.1716-90), physician, b. Ireland; Leiden U.; surgeon in Dublin; chief surgeon to the forces 1756; m. 1758 Ldy. Caroline Keppel, dau. of 2nd E. of Albemarle; sergt. surgeon to King; surgeon gen. to the forces 1786.	ADAIR, DR ROBERT	Dr Robert Adair
20	ADAIR, WILLIAM	ADAIR, WILLIAM	William Adair
21	ADAM, JAMES (1732-94), architect, 3rd s. of William Adam, architect of Edinburgh; suc. his bro. Robert as Architect of the King's Works 1769-82.	ADAM, JAMES	James Adam
22	ADAM, JOHN	ADAM, JOHN	John Adam
23	ADAM, ROBERT (1728-92), architect, 2nd s. of William Adam, architect of Edinburgh; Edinburgh U. 1743; jt. Architect of the King's Works 1762-8; MP 1768-74; FSA; FRSA.	ADAM, ROBERT	Robert Adam
24	ADAMS, C.	ADAMS, C.	C. Adams
25	ADAMS, EDMOND, merchant.	ADAMS, EDMOND, merchant.	Edmond Adams
26	ADAMS, LADY MARY	ADAMS, LADY MARY	Lady Mary Adams
27	ADAMS	ADAMS	Adams
28	ADAMSON, ANDREW, see Dudley Long	ADAMSON, ANDREW	Andrew Adamson
29	ADDISON, JOSEPH (1672-1719), essayist, playwright and politician, e. s. of Lancelot Addison, Dean of Lichfield; educ. Charterhouse and Queen's and Magd. Oxf. 1689, fell. 1697-1711; MP 1708-19; m. 1716 Charlotte Middleton.	ADDISON, JOSEPH	Joseph Addison
