index	sequence	spouse	year	relative
0	1	Elizabeth Gibbes	1796	
1	1	Mary Pearce	1786	
8	1	Mary Anne Menzies	1767	
12	1	Charlotte Warren	1768	
16	1	Ldy. Christiana Harriet Caroline Fox Strangways	1770	
18	1	Mary Anne Acton	1800	
19	1	Ldy. Caroline Keppel	1758	
29	1	Charlotte Middleton	1716	
32	1	Ldy. Caroline Spencer	1792	
36	1	Marion Lawson	1707	
43	1	Magdalen Calandrini of Geneva	1748	
47	1	Anne Craufurd	1774	
48	1	Isobel Innes	1723	
55	1	Catherine Shadwell	1737	
58	1	Mary Johnston	1775	
63	1	Jane Allgood	1739	
72	1	Hon. Sarah Archer	1800	
72	2	Ldy. Mary Sackville	1839	
73	1	3rd D. of Ancaster	1750	
79	1	Ldy. Mary Finch	1736	
83	1	Amelia Lock	1799	
86	1	Sophia Fairholm	1682	
86	2	Charlotte van Lore	1718	
87	1	Anne Lambert	1771	
88	1	Ldy. Anne Beresford	1738	
92	1	Ldy. Anne Margaret Coke	1794	
94	1	Ldy. Margaret Carmichael	1717	
95	1	Janet Fall	1750	
98	1	Georgiana Lennox	1789	
100	1	Alicia Mann		
100	2	Hannah Greenleaf		
105	1	Catherine Leigh	1777	
107	1	Elizabeth Dashwood	1693	
108	1	Sarah West	1761	
110	1	Catherine Tipping	1726	
112	1		1766	
115	1	Mary Brown	1701	
115	2	Jane Warburton	1717	
116	1	Elizabeth Gunning	1759	
118	1		1796	
119	1	Charles James Fox	1795	
130	1	Elizabeth  Everard	1716	
130	2	Ldy. Anne Herbert	1729	
131	1	Mary Bellings-Arundell	1739	
132	1	Mary Conquest	1763	
133	1	Ldy. Frances Manners	1732	
137	1	Elizabeth Crowley	1756	
141	1	Lettice	1786	
143	1	Sir Edward Astley	1759	
145	1	Mary Prynce	1711	
146	1		1756	
146	2	Ldy. Dukinfield-Daniell	1759	
146	3	Mary Wagstaffe	1778	
148	1	Catherine Dicconson	1758	
156	1	Mary Colebrooke	1771	
156	2	Martha Carter	1783	
158	1	Marianna Lockhart	1791	
159	1	Arabella Bate	1746	
160	1	Ldy. Augusta Murray (c.1762-1830	1793	
161	1	Elizabeth Bridges	1791	
165	1	Lucy Norris	1726	
178	1	Frances	1783	
180	1	Hon. Elizabeth St John	1760	
184	1	Ldy. Grisell Hume	1691	
185	1	Eliza Andrews	1759	
186	1	Mary Pringle	1801	
187	1	George Baillie	1691	
200	1	Elizabeth Allgood		
201	1	Ldy. Florence Cole	1797	
204	1	Jane Thornton	1784	
207	1	Capt. Ball		
207	2	Adml. Sir Edward Hughes KB		
207	3	Samuel Humphrey [Homfrey]	1793	
212	1	4th B. Baltimore [I]	1699	
212	2	Christopher Crowe	1715	
213	1	Mary Janssen	1730	
214	1	Ldy. Diana Egerton	1753	
217	1	Sir Charles Warwick Bampfylde	1776	
218	1	Catherine Moore	1776	
220	1	Frances Woodley	1784	
221	1	Maryanne Bunney	1779	
222	1	Elizabeth Hooton	1766	
230	1	Jean Barclay		
240	1	Priscilla Jones	1803	
241	1	Flora Robin	1763	
241	2		1776	
244	1	Anne Skrine	1733	
244	2	Elizabeth Owen		
248	1	Ldy. Elizabeth Holles	1676	
250	1	Ldy. Katherine Powlett	1787	his cos.
250	2	Elizabeth Russell	1813	
252	1	Elizabeth Elwick	1745	
252	2	Mary Thornhill	1752	
259	1	Anna Maria Pratt	1739	
261	1	Mary Lovell	1740	
271	1	Ldy. Emily Stanhope	1767	
277	1	Frances Susanna Coxe	1780	
277	2	Harriet Lemon	1824	
280	1	Ldy. Anne Spencer	1720	
287	1	Gen. Sir James Murray	1794	
291	1	Finetta Poole	1714	
291	2	Catherine Brodrick	1741	
292	1	Ldy. Elizabeth Bruce	1732	
293	1	Leonora-Maria How	1709	
293	2	Ldy. Selina Shirley	1720	
306	1		1788	
313	1	Hon. Alice Windsor	1768	
