index	order	parents	heir	pupil	surviving	posthumous	illegitimate
0	2nd	John Abbot of Colchester, Essex, and Sarah, later Mrs Bentham	FALSE	FALSE	FALSE	FALSE	FALSE
1	e.	John Abbot of Colchester, Essex	FALSE	FALSE	FALSE	FALSE	FALSE
8	e.	George Abercromby	FALSE	FALSE	FALSE	FALSE	FALSE
12	1st	3rd E. of Abingdon	FALSE	FALSE	TRUE	FALSE	FALSE
16	e.	Sir Thomas Dyke Acland, 7th Bt.	FALSE	FALSE	FALSE	FALSE	FALSE
17	yr.	Edward Acton, London	FALSE	FALSE	FALSE	FALSE	FALSE
18	e.	Edward Acton, phys. of Besançon	FALSE	FALSE	FALSE	FALSE	FALSE
21	3rd	William Adam, architect of Edinburgh	FALSE	FALSE	FALSE	FALSE	FALSE
23	2nd	William Adam, architect of Edinburgh	FALSE	FALSE	FALSE	FALSE	FALSE
29	e.	Lancelot Addison, Dean of Lichfield	FALSE	FALSE	FALSE	FALSE	FALSE
32	e.	James Agar of Gowran Castle, co.Kilkenny, who was cr. B. Clifden [I] 1776, and Vct. Clifden [I] 1781	FALSE	FALSE	FALSE	FALSE	FALSE
34	e.	Thomas Aikman of Broomhilton	FALSE	FALSE	FALSE	FALSE	FALSE
35	3rd	John Aikman, advocate of Cairnie, Angus	FALSE	FALSE	FALSE	FALSE	FALSE
36		William Aikman, advocate of Cairnie, Angus	FALSE	FALSE	FALSE	FALSE	FALSE
37	2nd	Thomas Aikman of Broomhilton	FALSE	FALSE	FALSE	FALSE	FALSE
43	o.	Richard Aldworth (d. 1738) of Stanlake, Berks	FALSE	FALSE	FALSE	FALSE	FALSE
45		John Alexander	FALSE	TRUE	FALSE	FALSE	FALSE
47	2nd	Nathaniel Alexander of Gunsland, Don.	FALSE	FALSE	FALSE	FALSE	FALSE
52		David Allan, shoremaster of Alloa	FALSE	FALSE	FALSE	FALSE	FALSE
58	e.	William Allen, Chief Justice of Pennsylvania	FALSE	FALSE	FALSE	FALSE	FALSE
63		Isaac Allgood of Nunwick, Northumb.	FALSE	FALSE	FALSE	FALSE	FALSE
64		Bartin Allott of Bilham Grange, West Clayton, Yorks	FALSE	FALSE	FALSE	FALSE	FALSE
66		Joseph Alston of Edwardston, Suff	FALSE	FALSE	FALSE	FALSE	FALSE
68	e.	Sir Rowland Alston of Odell, Beds	FALSE	FALSE	FALSE	FALSE	FALSE
72	o.	William Amherst	FALSE	FALSE	FALSE	FALSE	FALSE
73		Thomas Panton of Newmarket, Cambs	FALSE	FALSE	FALSE	FALSE	FALSE
79	1st	11th E. of Suffolk and 4th E. of Berkshire, of Elford Hall, Staffs	FALSE	FALSE	TRUE	FALSE	FALSE
81		Alexander Andrews of Co. Antrim	TRUE	FALSE	FALSE	FALSE	FALSE
83	o.	John Julius Angerstein	FALSE	FALSE	FALSE	FALSE	FALSE
84	1st	1st M. of Annandale [S] by his 2nd w.	FALSE	FALSE	FALSE	FALSE	FALSE
86	1st	1st E. of Annandale [S]	FALSE	FALSE	TRUE	FALSE	FALSE
87		1st Vct. Glerawly [I]	FALSE	FALSE	FALSE	FALSE	FALSE
91	e.	William Anson of Shugborough, Staffs	FALSE	FALSE	FALSE	FALSE	FALSE
92	e.	George Anson [formerly Adams -1773] of Shugborough, Staffs	FALSE	FALSE	FALSE	FALSE	FALSE
94		Sir William Anstruther of Anstruther, Co. Fife (Bt. of Nova Scotia)	FALSE	FALSE	FALSE	FALSE	FALSE
95		Sir John Anstruther, 1st Bt.	FALSE	FALSE	FALSE	FALSE	FALSE
97		Thomas Apperley of Leominster, Herefs	FALSE	FALSE	FALSE	FALSE	FALSE
98	e.	2nd E. Bathurst	FALSE	FALSE	FALSE	FALSE	FALSE
100	2nd	Charles Apthorp of Boston, Mass.	FALSE	FALSE	FALSE	FALSE	FALSE
102	2nd	Rev. Alexander Arbuthnot of Arbuthnot, Kinc.	FALSE	FALSE	FALSE	FALSE	FALSE
105		Andrew Arcedeckne of Gurnamone, Gal.	FALSE	FALSE	FALSE	FALSE	FALSE
107	e.	Thomas Archer of Umberslade, War	FALSE	FALSE	FALSE	FALSE	FALSE
108	e.	1st B. Archer of Umberslade, War	FALSE	FALSE	FALSE	FALSE	FALSE
110	e.	Andrew Archer of Umberslade, War	FALSE	FALSE	FALSE	FALSE	FALSE
112		George Arden of Ombersley, Worcs	FALSE	FALSE	FALSE	FALSE	FALSE
115	e.	1st D. of Argyll [S]	FALSE	FALSE	FALSE	FALSE	FALSE
116	1st	4th D. of Argyll [S]	FALSE	FALSE	TRUE	FALSE	FALSE
118		Robert Armitage, merchant of Liverpool	TRUE	FALSE	FALSE	FALSE	FALSE
122	e.	Sir Samuel Armytage	FALSE	FALSE	FALSE	FALSE	FALSE
