index	tourEndTo	tourIndex	travelIndex	tourStartTo	tourEndFrom	travelEndDay	tourStartFrom	travelEndYear	travelStartDay	travelEndMonth	travelStartYear	travelStartMonth	travelindexTotal	place	lte	gte	parent
0	1788	1	1	1788	1788	10	1788	1788	10	9	1788	9	1	Turin			
0	1788	1	2	1788	1788	13	1788	1788	13	9	1788	9	2	Genoa			
0	1788	1	3	1788	1788	0	1788	0	0	0	0	0	3	Leghorn	1788-9-15	1788-9-13	
0	1788	1	4	1788	1788	0	1788	0	0	0	0	0	4	Pisa	1788-9-15	1788-9-13	
0	1788	1	5	1788	1788	18	1788	1788	15	9	1788	9	5	Florence			
0	1788	1	6	1788	1788	20	1788	1788	20	9	1788	9	6	Perugia			
0	1788	1	7	1788	1788	0	1788	0	0	0	0	0	7	Narni	1788-9-21	1788-9-20	
0	1788	1	8	1788	1788	28	1788	1788	21	9	1788	9	8	Rome			
0	1788	1	9	1788	1788	6	1788	1788	30	10	1788	9	9	Naples			
0	1788	1	10	1788	1788	10	1788	1788	7	10	1788	10	10	Rome			
0	1788	1	11	1788	1788	11	1788	1788	11	10	1788	10	11	Siena			
0	1788	1	12	1788	1788	12	1788	1788	12	10	1788	10	12	Florence			
0	1788	1	13	1788	1788	15	1788	1788	15	10	1788	10	13	Bologna			
0	1788	1	14	1788	1788	20	1788	1788	16	10	1788	10	14	Venice			
0	1788	1	15	1788	1788	0	1788	0	0	0	0	0	15	Vicenza	1788-10-22	1788-10-20	
0	1788	1	16	1788	1788	22	1788	1788	22	10	1788	10	16	Verona			
4	1763	1	1	1763	1763	31	1763	1763	31	12	1763	12	1	Naples			
6	1764	1	1	1764	1764	0	1764	1764	0	10	1764	10	1	Rome			
9	1770	1	1	1769	1770	25	1769	1769	18	11	1769	11	1	Florence			
9	1770	1	2	1769	1770	25	1769	1769	25	12	1769	12	2	Rome			
9	1770	1	3	1769	1770	0	1769	1770	0	5	1770	5	3	Venice			
10	1733	1	1	1733	1733	0	1733	1733	0	1	1733	1	1	Pisa			
12	1765	1	1	1763	1765	0	1763	1763	0	2	1763	2	1	Rome			
